epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.8876,1.57566,2.94516,1.80345,0.94434,0.32609,0.45829,0.34917,0.85787,1.34873,1.22331,0.000473356,0.000473356,0.000473356
2,36.3765,1.27962,1.68438,1.55924,0.85493,0.33913,0.59524,0.48267,0.89555,1.63284,1.25089,0.000761651,0.000761651,0.000761651
3,49.7908,1.21893,1.5485,1.49999,0.73541,0.57329,0.65485,0.54048,0.76313,1.25915,1.12421,0.000861318,0.000861318,0.000861318
4,63.2409,1.08118,1.33562,1.41499,0.60906,0.72484,0.72925,0.61677,0.73007,1.06088,1.0907,0.000580174,0.000580174,0.000580174
5,76.5823,1.03521,1.32957,1.41048,0.78351,0.621,0.7244,0.61704,0.65527,1.12111,1.02637,0.000297232,0.000297232,0.000297232
