epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.4314,1.72143,2.44814,1.74829,0.46363,0.31826,0.32249,0.20307,1.92289,2.65787,1.97691,0.000472227,0.000472227,0.000472227
2,32.8317,1.38408,1.1763,1.48492,0.72108,0.75054,0.74668,0.44099,1.3319,1.04065,1.54833,0.000760745,0.000760745,0.000760745
3,43.1229,1.31927,1.09976,1.44159,0.75235,0.77254,0.78475,0.47298,1.26803,0.89323,1.54115,0.000860636,0.000860636,0.000860636
4,53.3894,1.30938,0.9846,1.41141,0.77799,0.77919,0.7827,0.47677,1.26045,0.85322,1.50295,0.000580174,0.000580174,0.000580174
5,63.7829,1.23601,0.97518,1.36782,0.75562,0.81457,0.81676,0.4866,1.24263,0.83028,1.48776,0.000297232,0.000297232,0.000297232
