epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.8748,1.25914,1.64529,1.44136,0.64441,0.59354,0.59355,0.40364,1.54726,1.79785,1.78831,0.000474529,0.000474529,0.000474529
2,53.8614,1.23526,1.15276,1.4695,0.73855,0.73375,0.74027,0.52945,1.22625,1.55332,1.55572,0.000762592,0.000762592,0.000762592
3,75.7299,1.16381,1.02489,1.41458,0.76441,0.74638,0.80521,0.57235,1.16099,1.01058,1.47816,0.000862026,0.000862026,0.000862026
4,97.5049,1.13404,0.94094,1.39589,0.82502,0.84067,0.85118,0.64041,1.03045,0.88126,1.32961,0.000580174,0.000580174,0.000580174
5,119.13,1.01818,0.79663,1.29528,0.85025,0.86288,0.90481,0.68264,0.95407,0.75645,1.29306,0.000297232,0.000297232,0.000297232
