epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.0984,1.40198,1.76184,1.58806,0.6495,0.46774,0.55864,0.34684,1.45635,1.84632,1.77052,0.000475542,0.000475542,0.000475542
2,119.67,1.42986,1.38953,1.62683,0.57267,0.54004,0.52593,0.29945,1.67085,1.7559,1.86775,0.000933028,0.000933028,0.000933028
3,170.631,1.38082,1.30693,1.60074,0.66288,0.65725,0.68049,0.42295,1.38865,1.29022,1.64621,0.00137165,0.00137165,0.00137165
4,221.135,1.3146,1.17184,1.54687,0.72703,0.67358,0.7229,0.44614,1.37747,1.23387,1.62246,0.00134412,0.00134412,0.00134412
5,271.866,1.26036,1.09548,1.50182,0.65285,0.7139,0.72734,0.47763,1.24823,1.09042,1.51685,0.00131582,0.00131582,0.00131582
6,322.482,1.24199,1.06092,1.47896,0.73882,0.79092,0.78295,0.50726,1.22898,0.93638,1.54036,0.00128753,0.00128753,0.00128753
7,373.645,1.20036,0.97832,1.45998,0.73781,0.76587,0.78601,0.51624,1.22024,0.91859,1.49764,0.00125923,0.00125923,0.00125923
8,424.527,1.17455,0.96085,1.43985,0.7837,0.81615,0.81635,0.54202,1.1695,0.87013,1.4462,0.00123094,0.00123094,0.00123094
9,475.582,1.14848,0.90407,1.41835,0.78741,0.80268,0.81206,0.52994,1.20042,0.85739,1.46666,0.00120265,0.00120265,0.00120265
10,526.515,1.13472,0.87304,1.41582,0.80336,0.82871,0.83992,0.56184,1.16231,0.79971,1.43078,0.00117435,0.00117435,0.00117435
11,577.385,1.11789,0.84814,1.39501,0.79458,0.80493,0.83185,0.56052,1.13628,0.82931,1.4283,0.00114606,0.00114606,0.00114606
12,628.114,1.11403,0.83494,1.3988,0.82718,0.83998,0.86157,0.58373,1.14416,0.74726,1.44666,0.00111776,0.00111776,0.00111776
13,678.947,1.0752,0.79418,1.36384,0.84098,0.84392,0.85709,0.58109,1.11696,0.74033,1.42396,0.00108947,0.00108947,0.00108947
14,729.667,1.07704,0.79858,1.37343,0.75672,0.77024,0.81856,0.56769,1.11706,0.81069,1.42378,0.00106118,0.00106118,0.00106118
15,780.476,1.06715,0.78027,1.36115,0.83692,0.86799,0.8847,0.62052,1.06037,0.6904,1.36882,0.00103288,0.00103288,0.00103288
16,831.489,1.04351,0.75548,1.34442,0.8667,0.85907,0.87277,0.61928,1.05237,0.66704,1.37719,0.00100459,0.00100459,0.00100459
17,882.298,1.02581,0.7413,1.33471,0.83889,0.84139,0.87183,0.62066,1.03674,0.67436,1.35821,0.000976293,0.000976293,0.000976293
18,933.252,1.02767,0.7468,1.33419,0.84468,0.87555,0.88748,0.62132,1.0484,0.66055,1.36778,0.000947999,0.000947999,0.000947999
19,984.285,1.04305,0.73306,1.34002,0.83191,0.86382,0.88864,0.62119,1.07932,0.67441,1.36904,0.000919704,0.000919704,0.000919704
20,1035.17,1.01189,0.70147,1.3148,0.86465,0.86,0.89225,0.62135,1.04352,0.66662,1.36014,0.00089141,0.00089141,0.00089141
21,1086.1,1.01733,0.72641,1.32602,0.85089,0.87186,0.89464,0.63768,1.02292,0.63624,1.34358,0.000863116,0.000863116,0.000863116
22,1136.95,0.98664,0.67415,1.28845,0.87034,0.86347,0.89685,0.63788,1.03055,0.63261,1.35247,0.000834822,0.000834822,0.000834822
23,1187.89,0.98562,0.68503,1.30429,0.8661,0.87113,0.89957,0.63414,1.04497,0.6295,1.35407,0.000806528,0.000806528,0.000806528
24,1238.77,0.98855,0.66851,1.29774,0.87985,0.86009,0.90284,0.63706,1.04451,0.61438,1.36369,0.000778233,0.000778233,0.000778233
25,1289.61,0.95893,0.6668,1.28125,0.86609,0.86815,0.91262,0.65449,0.99174,0.61182,1.33692,0.000749939,0.000749939,0.000749939
26,1340.38,0.97663,0.66626,1.29144,0.88697,0.85752,0.90942,0.64451,1.01605,0.61688,1.34763,0.000721645,0.000721645,0.000721645
27,1391.34,0.9735,0.65403,1.30099,0.8698,0.88912,0.91949,0.6575,1.00779,0.59396,1.32386,0.000693351,0.000693351,0.000693351
28,1442.28,0.96216,0.63974,1.27858,0.85713,0.88649,0.9076,0.6475,1.0186,0.60866,1.34746,0.000665057,0.000665057,0.000665057
29,1493.17,0.94618,0.63708,1.26282,0.89012,0.87583,0.91029,0.6622,0.97202,0.58911,1.30185,0.000636762,0.000636762,0.000636762
30,1544.01,0.92978,0.61999,1.26063,0.88254,0.8774,0.91467,0.66157,0.98379,0.57895,1.32253,0.000608468,0.000608468,0.000608468
31,1594.94,0.94259,0.62411,1.26637,0.8795,0.89602,0.91794,0.66831,0.9679,0.57764,1.30583,0.000580174,0.000580174,0.000580174
32,1645.88,0.91472,0.59333,1.23737,0.89651,0.88754,0.92115,0.67028,0.97704,0.56776,1.31229,0.00055188,0.00055188,0.00055188
33,1696.77,0.91491,0.6034,1.24634,0.90742,0.88513,0.93275,0.68414,0.95697,0.54558,1.28692,0.000523586,0.000523586,0.000523586
34,1747.68,0.9183,0.59816,1.24528,0.88297,0.87896,0.91629,0.66495,0.98205,0.57511,1.31167,0.000495291,0.000495291,0.000495291
35,1798.5,0.90245,0.59006,1.23455,0.89939,0.89517,0.92915,0.68056,0.95637,0.5474,1.3052,0.000466997,0.000466997,0.000466997
36,1849.28,0.9155,0.58248,1.23032,0.91081,0.88005,0.92266,0.67364,0.95697,0.55035,1.29345,0.000438703,0.000438703,0.000438703
37,1900.12,0.89361,0.57775,1.21738,0.88924,0.90083,0.92877,0.68176,0.93621,0.53729,1.2916,0.000410409,0.000410409,0.000410409
38,1950.95,0.89157,0.56948,1.22127,0.90216,0.89234,0.92257,0.68331,0.93002,0.53071,1.29324,0.000382115,0.000382115,0.000382115
39,2001.7,0.87707,0.55817,1.20891,0.91147,0.88092,0.92932,0.68804,0.93446,0.53697,1.28217,0.00035382,0.00035382,0.00035382
40,2052.55,0.87153,0.55832,1.20928,0.89052,0.89946,0.92528,0.67826,0.95232,0.54683,1.29485,0.000325526,0.000325526,0.000325526
41,2103.67,0.82465,0.49576,1.18278,0.90474,0.89171,0.92506,0.69239,0.91914,0.52256,1.27528,0.000297232,0.000297232,0.000297232
42,2154.28,0.81858,0.49318,1.17864,0.90139,0.89039,0.93074,0.70109,0.9138,0.52995,1.27695,0.000268938,0.000268938,0.000268938
43,2205.24,0.80539,0.46712,1.16527,0.90127,0.90218,0.9307,0.69874,0.91541,0.51255,1.27005,0.000240644,0.000240644,0.000240644
44,2255.93,0.80734,0.48248,1.16387,0.8986,0.89857,0.926,0.69968,0.90446,0.52003,1.26955,0.000212349,0.000212349,0.000212349
45,2306.61,0.80396,0.4699,1.16258,0.89412,0.90272,0.93066,0.70194,0.90415,0.51251,1.25579,0.000184055,0.000184055,0.000184055
46,2357.37,0.80326,0.47969,1.15916,0.89913,0.89734,0.93215,0.70616,0.9048,0.51298,1.25667,0.000155761,0.000155761,0.000155761
47,2408.05,0.78479,0.46543,1.15349,0.89886,0.90751,0.93106,0.70295,0.90439,0.50524,1.26113,0.000127467,0.000127467,0.000127467
48,2458.67,0.7694,0.45304,1.14032,0.90012,0.90584,0.93684,0.70573,0.9022,0.51085,1.26212,9.91726e-05,9.91726e-05,9.91726e-05
49,2509.26,0.77249,0.44354,1.1387,0.90613,0.89959,0.93691,0.71026,0.89432,0.49796,1.24879,7.08784e-05,7.08784e-05,7.08784e-05
50,2559.98,0.75408,0.44358,1.13049,0.90316,0.90286,0.93473,0.71003,0.89555,0.49874,1.25963,4.25842e-05,4.25842e-05,4.25842e-05
