epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7406,2.0118,2.56479,2.3649,0.87351,0.74351,0.81399,0.51093,2.03114,1.61639,2.40011,0.000468772,0.000468772,0.000468772
2,22.8391,1.43435,1.19894,1.84976,0.87038,0.78295,0.85076,0.56061,1.62164,1.60424,2.17783,0.000757975,0.000757975,0.000757975
3,29.8096,1.32757,1.07986,1.66757,0.94642,0.74551,0.8767,0.57989,1.69252,1.32212,2.00221,0.000858549,0.000858549,0.000858549
4,36.7744,1.29354,1.05959,1.67954,0.91012,0.81826,0.92637,0.61443,1.42895,1.13583,1.92612,0.000580174,0.000580174,0.000580174
5,43.7146,1.22108,0.93548,1.63051,0.9599,0.81826,0.95349,0.66413,1.25052,1.06201,1.80106,0.000297232,0.000297232,0.000297232
